# messageDelay  cumulativeProbability
0.1000 0.0059
0.1000 0.0118
1.0000 0.0176
4.5000 0.0235
8.7000 0.0294
34.4000 0.0353
43.8000 0.0412
48.4000 0.0471
60.4000 0.0529
76.6000 0.0588
91.9000 0.0647
148.6000 0.0706
150.8000 0.0765
159.3000 0.0824
207.2000 0.0882
217.2000 0.0941
217.7000 0.1000
241.4000 0.1059
271.2000 0.1118
273.7000 0.1176
275.7000 0.1235
282.0000 0.1294
319.2000 0.1353
368.7000 0.1412
397.9000 0.1471
399.3000 0.1529
399.6000 0.1588
400.4000 0.1647
404.8000 0.1706
405.5000 0.1765
413.4000 0.1824
432.3000 0.1882
492.3000 0.1941
500.7000 0.2000
502.5000 0.2059
505.1000 0.2118
519.8000 0.2176
520.1000 0.2235
539.7000 0.2294
554.9000 0.2353
574.2000 0.2412
575.2000 0.2471
585.6000 0.2529
591.4000 0.2588
592.1000 0.2647
595.5000 0.2706
609.3000 0.2765
630.1000 0.2824
697.5000 0.2882
704.6000 0.2941
711.2000 0.3000
713.0000 0.3059
734.1000 0.3118
739.6000 0.3176
744.1000 0.3235
746.3000 0.3294
758.6000 0.3353
767.7000 0.3412
781.0000 0.3471
790.3000 0.3529
804.6000 0.3588
826.1000 0.3647
831.8000 0.3706
844.9000 0.3765
869.5000 0.3824
894.8000 0.3882
896.2000 0.3941
919.3000 0.4000
921.8000 0.4059
928.3000 0.4118
929.1000 0.4176
938.9000 0.4235
947.1000 0.4294
956.5000 0.4353
993.5000 0.4412
1012.3000 0.4471
1021.2000 0.4529
1025.2000 0.4588
1032.4000 0.4647
1051.8000 0.4706
1064.4000 0.4765
1071.7000 0.4824
1081.6000 0.4882
1104.3000 0.4941
1127.3000 0.5000
1170.2000 0.5059
1173.7000 0.5118
1173.7000 0.5176
1232.2000 0.5235
1241.4000 0.5294
1248.3000 0.5353
1274.1000 0.5412
1277.3000 0.5471
1286.5000 0.5529
1315.1000 0.5588
1341.5000 0.5647
1343.8000 0.5706
1348.4000 0.5765
1378.0000 0.5824
1391.2000 0.5882
1455.5000 0.5941
1487.6000 0.6000
1502.1000 0.6059
1517.1000 0.6118
1530.8000 0.6176
1548.5000 0.6235
1564.8000 0.6294
1574.5000 0.6353
1577.9000 0.6412
1591.9000 0.6471
1598.2000 0.6529
1605.1000 0.6588
1615.3000 0.6647
1661.4000 0.6706
1693.0000 0.6765
1703.8000 0.6824
1706.4000 0.6882
1730.9000 0.6941
1771.1000 0.7000
1773.3000 0.7059
1779.1000 0.7118
1869.4000 0.7176
1924.0000 0.7235
1929.4000 0.7294
1932.3000 0.7353
1995.8000 0.7412
2012.6000 0.7471
2058.5000 0.7529
2095.4000 0.7588
2182.7000 0.7647
2194.8000 0.7706
2202.5000 0.7765
2267.3000 0.7824
2497.7000 0.7882
2535.9000 0.7941
2608.5000 0.8000
2714.8000 0.8059
3188.2000 0.8118
3295.8000 0.8176
3495.0000 0.8235
3979.7000 0.8294
