# messageDelay  cumulativeProbability
0.1000 0.0059
0.2000 0.0118
0.3000 0.0178
28.5000 0.0237
48.0000 0.0296
61.6000 0.0355
84.8000 0.0414
91.2000 0.0473
103.7000 0.0533
121.3000 0.0592
135.7000 0.0651
149.8000 0.0710
163.1000 0.0769
210.4000 0.0828
210.4000 0.0888
214.2000 0.0947
220.5000 0.1006
236.0000 0.1065
240.9000 0.1124
245.1000 0.1183
250.4000 0.1243
260.0000 0.1302
274.0000 0.1361
284.1000 0.1420
289.8000 0.1479
294.5000 0.1538
296.2000 0.1598
301.5000 0.1657
322.7000 0.1716
334.1000 0.1775
349.7000 0.1834
368.5000 0.1893
368.9000 0.1953
370.7000 0.2012
376.7000 0.2071
378.0000 0.2130
379.7000 0.2189
388.0000 0.2249
393.4000 0.2308
403.4000 0.2367
405.9000 0.2426
412.1000 0.2485
413.7000 0.2544
416.2000 0.2604
419.6000 0.2663
421.7000 0.2722
433.2000 0.2781
444.3000 0.2840
447.3000 0.2899
450.2000 0.2959
452.5000 0.3018
469.9000 0.3077
472.1000 0.3136
478.3000 0.3195
480.1000 0.3254
486.1000 0.3314
500.7000 0.3373
502.5000 0.3432
506.5000 0.3491
509.1000 0.3550
514.1000 0.3609
520.6000 0.3669
531.5000 0.3728
541.3000 0.3787
541.6000 0.3846
543.3000 0.3905
547.0000 0.3964
548.5000 0.4024
561.1000 0.4083
563.1000 0.4142
575.7000 0.4201
582.2000 0.4260
587.3000 0.4320
593.3000 0.4379
597.4000 0.4438
617.8000 0.4497
634.3000 0.4556
643.5000 0.4615
645.9000 0.4675
650.7000 0.4734
652.6000 0.4793
656.4000 0.4852
671.3000 0.4911
673.1000 0.4970
695.7000 0.5030
706.6000 0.5089
714.2000 0.5148
714.5000 0.5207
715.3000 0.5266
716.8000 0.5325
718.5000 0.5385
723.1000 0.5444
758.7000 0.5503
785.6000 0.5562
805.5000 0.5621
807.2000 0.5680
810.9000 0.5740
811.1000 0.5799
825.0000 0.5858
826.6000 0.5917
826.8000 0.5976
834.5000 0.6036
856.2000 0.6095
858.4000 0.6154
863.0000 0.6213
868.0000 0.6272
886.1000 0.6331
913.2000 0.6391
928.3000 0.6450
938.5000 0.6509
951.0000 0.6568
956.1000 0.6627
962.1000 0.6686
963.8000 0.6746
990.5000 0.6805
1010.4000 0.6864
1015.7000 0.6923
1017.0000 0.6982
1030.6000 0.7041
1044.2000 0.7101
1071.6000 0.7160
1134.4000 0.7219
1153.0000 0.7278
1153.3000 0.7337
1222.7000 0.7396
1225.3000 0.7456
1225.6000 0.7515
1266.6000 0.7574
1286.3000 0.7633
1310.0000 0.7692
1323.9000 0.7751
1378.0000 0.7811
1399.1000 0.7870
1460.3000 0.7929
1465.8000 0.7988
1492.3000 0.8047
1556.0000 0.8107
1586.0000 0.8166
1714.7000 0.8225
1720.6000 0.8284
1722.2000 0.8343
1734.6000 0.8402
1879.6000 0.8462
1900.7000 0.8521
2490.3000 0.8580
