# messageDelay  cumulativeProbability
0.1000 0.0059
31.9000 0.0118
40.2000 0.0178
59.8000 0.0237
61.1000 0.0296
65.5000 0.0355
81.5000 0.0414
84.4000 0.0473
100.3000 0.0533
115.5000 0.0592
124.7000 0.0651
126.3000 0.0710
146.0000 0.0769
147.4000 0.0828
172.8000 0.0888
179.2000 0.0947
199.1000 0.1006
202.2000 0.1065
209.1000 0.1124
239.1000 0.1183
240.6000 0.1243
250.7000 0.1302
254.4000 0.1361
260.0000 0.1420
270.9000 0.1479
280.2000 0.1538
280.4000 0.1598
280.6000 0.1657
281.6000 0.1716
282.9000 0.1775
285.5000 0.1834
298.5000 0.1893
319.8000 0.1953
324.5000 0.2012
327.2000 0.2071
344.9000 0.2130
348.5000 0.2189
351.9000 0.2249
376.9000 0.2308
380.6000 0.2367
383.7000 0.2426
393.4000 0.2485
397.8000 0.2544
404.8000 0.2604
407.0000 0.2663
408.5000 0.2722
409.4000 0.2781
418.1000 0.2840
422.5000 0.2899
426.6000 0.2959
429.7000 0.3018
432.0000 0.3077
436.3000 0.3136
438.9000 0.3195
439.1000 0.3254
440.6000 0.3314
441.1000 0.3373
450.1000 0.3432
464.8000 0.3491
473.8000 0.3550
474.4000 0.3609
475.3000 0.3669
477.0000 0.3728
483.5000 0.3787
489.4000 0.3846
490.2000 0.3905
492.6000 0.3964
497.1000 0.4024
499.5000 0.4083
500.9000 0.4142
503.3000 0.4201
509.2000 0.4260
510.6000 0.4320
512.4000 0.4379
521.1000 0.4438
521.8000 0.4497
525.8000 0.4556
530.5000 0.4615
532.5000 0.4675
534.6000 0.4734
536.1000 0.4793
545.1000 0.4852
550.2000 0.4911
555.7000 0.4970
556.3000 0.5030
572.0000 0.5089
572.9000 0.5148
574.1000 0.5207
577.7000 0.5266
609.9000 0.5325
622.0000 0.5385
624.4000 0.5444
628.1000 0.5503
632.0000 0.5562
642.4000 0.5621
647.7000 0.5680
653.0000 0.5740
656.7000 0.5799
665.4000 0.5858
679.0000 0.5917
723.2000 0.5976
724.5000 0.6036
742.7000 0.6095
752.4000 0.6154
759.1000 0.6213
764.2000 0.6272
776.6000 0.6331
780.4000 0.6391
797.2000 0.6450
822.3000 0.6509
822.6000 0.6568
839.1000 0.6627
841.9000 0.6686
843.5000 0.6746
860.3000 0.6805
862.3000 0.6864
873.0000 0.6923
889.0000 0.6982
905.5000 0.7041
913.3000 0.7101
923.6000 0.7160
929.7000 0.7219
953.6000 0.7278
984.9000 0.7337
1026.8000 0.7396
1046.7000 0.7456
1068.2000 0.7515
1088.5000 0.7574
1121.0000 0.7633
1178.1000 0.7692
1210.7000 0.7751
1214.6000 0.7811
1230.7000 0.7870
1264.3000 0.7929
1288.7000 0.7988
1307.3000 0.8047
1411.1000 0.8107
1440.5000 0.8166
1481.1000 0.8225
1512.7000 0.8284
1537.2000 0.8343
1698.8000 0.8402
1819.9000 0.8462
2083.5000 0.8521
2581.4000 0.8580
