# messageDelay  cumulativeProbability
0.1000 0.0059
0.2000 0.0118
0.3000 0.0178
28.5000 0.0237
47.9000 0.0296
48.3000 0.0355
61.6000 0.0414
84.8000 0.0473
91.2000 0.0533
103.7000 0.0592
113.6000 0.0651
118.0000 0.0710
135.7000 0.0769
141.6000 0.0828
149.8000 0.0888
163.1000 0.0947
198.8000 0.1006
203.4000 0.1065
210.4000 0.1124
214.2000 0.1183
220.4000 0.1243
240.9000 0.1302
245.2000 0.1361
250.4000 0.1420
252.5000 0.1479
253.6000 0.1538
260.0000 0.1598
266.6000 0.1657
270.0000 0.1716
272.7000 0.1775
289.8000 0.1834
294.3000 0.1893
296.2000 0.1953
297.1000 0.2012
301.5000 0.2071
302.8000 0.2130
309.3000 0.2189
310.9000 0.2249
317.8000 0.2308
322.7000 0.2367
334.0000 0.2426
334.4000 0.2485
335.0000 0.2544
336.2000 0.2604
349.7000 0.2663
354.6000 0.2722
356.7000 0.2781
358.5000 0.2840
359.1000 0.2899
368.5000 0.2959
368.6000 0.3018
370.8000 0.3077
373.9000 0.3136
377.9000 0.3195
378.9000 0.3254
379.4000 0.3314
388.0000 0.3373
393.4000 0.3432
405.9000 0.3491
408.9000 0.3550
412.1000 0.3609
413.7000 0.3669
414.5000 0.3728
416.1000 0.3787
417.8000 0.3846
419.2000 0.3905
419.6000 0.3964
419.9000 0.4024
421.7000 0.4083
433.2000 0.4142
442.7000 0.4201
444.3000 0.4260
444.7000 0.4320
447.3000 0.4379
462.8000 0.4438
469.9000 0.4497
472.1000 0.4556
478.3000 0.4615
480.1000 0.4675
484.8000 0.4734
489.9000 0.4793
491.3000 0.4852
500.7000 0.4911
502.5000 0.4970
507.7000 0.5030
509.0000 0.5089
514.1000 0.5148
516.0000 0.5207
520.4000 0.5266
522.1000 0.5325
541.3000 0.5385
543.3000 0.5444
546.9000 0.5503
549.8000 0.5562
561.1000 0.5621
562.6000 0.5680
563.1000 0.5740
573.9000 0.5799
575.7000 0.5858
582.2000 0.5917
587.9000 0.5976
593.3000 0.6036
597.5000 0.6095
617.8000 0.6154
636.5000 0.6213
636.7000 0.6272
652.6000 0.6331
671.1000 0.6391
680.5000 0.6450
706.3000 0.6509
713.5000 0.6568
714.2000 0.6627
716.8000 0.6686
718.4000 0.6746
758.7000 0.6805
785.6000 0.6864
805.5000 0.6923
810.4000 0.6982
811.1000 0.7041
815.3000 0.7101
825.5000 0.7160
834.1000 0.7219
845.3000 0.7278
847.8000 0.7337
873.3000 0.7396
883.7000 0.7456
891.0000 0.7515
908.5000 0.7574
928.3000 0.7633
933.7000 0.7692
951.0000 0.7751
956.1000 0.7811
963.7000 0.7870
972.7000 0.7929
990.5000 0.7988
1030.6000 0.8047
1052.6000 0.8107
1112.0000 0.8166
1159.8000 0.8225
1323.8000 0.8284
1399.1000 0.8343
1460.7000 0.8402
1556.4000 0.8462
1585.8000 0.8521
1879.6000 0.8580
