# messageDelay  cumulativeProbability
0.1000 0.0059
0.1000 0.0118
1.0000 0.0176
4.5000 0.0235
25.6000 0.0294
43.8000 0.0353
48.4000 0.0412
60.6000 0.0471
75.9000 0.0529
76.6000 0.0588
91.9000 0.0647
148.6000 0.0706
150.8000 0.0765
158.1000 0.0824
159.3000 0.0882
207.2000 0.0941
216.5000 0.1000
217.7000 0.1059
226.3000 0.1118
241.6000 0.1176
271.1000 0.1235
273.6000 0.1294
275.7000 0.1353
315.0000 0.1412
319.2000 0.1471
326.2000 0.1529
368.6000 0.1588
393.5000 0.1647
399.3000 0.1706
399.8000 0.1765
404.8000 0.1824
405.5000 0.1882
413.8000 0.1941
432.3000 0.2000
458.1000 0.2059
470.1000 0.2118
485.4000 0.2176
500.7000 0.2235
502.1000 0.2294
502.6000 0.2353
505.2000 0.2412
509.6000 0.2471
519.8000 0.2529
520.1000 0.2588
531.6000 0.2647
534.9000 0.2706
539.7000 0.2765
554.9000 0.2824
561.6000 0.2882
575.3000 0.2941
585.6000 0.3000
592.1000 0.3059
595.7000 0.3118
600.1000 0.3176
604.7000 0.3235
605.2000 0.3294
609.3000 0.3353
658.4000 0.3412
691.7000 0.3471
694.5000 0.3529
697.5000 0.3588
700.9000 0.3647
711.1000 0.3706
720.4000 0.3765
734.1000 0.3824
739.9000 0.3882
743.8000 0.3941
790.3000 0.4000
804.6000 0.4059
826.1000 0.4118
831.8000 0.4176
844.9000 0.4235
869.5000 0.4294
876.7000 0.4353
879.3000 0.4412
885.0000 0.4471
887.4000 0.4529
913.5000 0.4588
914.9000 0.4647
921.8000 0.4706
928.3000 0.4765
929.1000 0.4824
938.9000 0.4882
956.5000 0.4941
982.3000 0.5000
1003.5000 0.5059
1004.5000 0.5118
1007.4000 0.5176
1025.2000 0.5235
1037.5000 0.5294
1064.4000 0.5353
1071.7000 0.5412
1110.6000 0.5471
1132.0000 0.5529
1158.1000 0.5588
1162.5000 0.5647
1170.2000 0.5706
1173.9000 0.5765
1185.7000 0.5824
1201.0000 0.5882
1204.0000 0.5941
1248.3000 0.6000
1274.1000 0.6059
1280.1000 0.6118
1293.1000 0.6176
1298.2000 0.6235
1322.8000 0.6294
1326.3000 0.6353
1335.0000 0.6412
1341.5000 0.6471
1343.8000 0.6529
1344.0000 0.6588
1351.8000 0.6647
1419.8000 0.6706
1435.3000 0.6765
1440.3000 0.6824
1468.7000 0.6882
1515.4000 0.6941
1517.1000 0.7000
1525.2000 0.7059
1525.4000 0.7118
1548.5000 0.7176
1574.0000 0.7235
1577.9000 0.7294
1591.3000 0.7353
1598.2000 0.7412
1605.1000 0.7471
1732.4000 0.7529
1773.3000 0.7588
1810.9000 0.7647
1869.4000 0.7706
1924.0000 0.7765
1935.5000 0.7824
2058.5000 0.7882
2085.1000 0.7941
2141.8000 0.8000
2194.9000 0.8059
2714.8000 0.8118
3979.7000 0.8176
