# messageDelay  cumulativeProbability
0.2000 0.0059
0.3000 0.0118
0.6000 0.0178
16.6000 0.0237
30.2000 0.0296
37.7000 0.0355
80.7000 0.0414
96.6000 0.0473
103.1000 0.0533
105.0000 0.0592
110.8000 0.0651
113.9000 0.0710
121.3000 0.0769
128.7000 0.0828
132.6000 0.0888
145.7000 0.0947
151.9000 0.1006
160.5000 0.1065
173.8000 0.1124
185.2000 0.1183
194.8000 0.1243
198.8000 0.1302
199.8000 0.1361
209.9000 0.1420
221.4000 0.1479
226.2000 0.1538
255.9000 0.1598
256.9000 0.1657
281.0000 0.1716
281.9000 0.1775
283.8000 0.1834
284.9000 0.1893
291.5000 0.1953
293.3000 0.2012
295.9000 0.2071
297.7000 0.2130
299.0000 0.2189
302.1000 0.2249
310.5000 0.2308
320.4000 0.2367
324.4000 0.2426
329.5000 0.2485
331.4000 0.2544
333.3000 0.2604
348.5000 0.2663
349.1000 0.2722
355.0000 0.2781
364.8000 0.2840
369.5000 0.2899
370.4000 0.2959
386.7000 0.3018
387.0000 0.3077
392.9000 0.3136
417.1000 0.3195
418.7000 0.3254
419.3000 0.3314
424.7000 0.3373
430.6000 0.3432
443.0000 0.3491
443.1000 0.3550
444.2000 0.3609
446.2000 0.3669
448.3000 0.3728
449.9000 0.3787
454.8000 0.3846
457.8000 0.3905
465.5000 0.3964
467.4000 0.4024
472.1000 0.4083
482.4000 0.4142
485.6000 0.4201
486.5000 0.4260
486.8000 0.4320
488.7000 0.4379
491.0000 0.4438
496.0000 0.4497
496.5000 0.4556
500.0000 0.4615
500.8000 0.4675
515.6000 0.4734
520.7000 0.4793
531.0000 0.4852
542.0000 0.4911
544.9000 0.4970
545.9000 0.5030
549.2000 0.5089
567.7000 0.5148
572.9000 0.5207
589.3000 0.5266
601.9000 0.5325
622.0000 0.5385
638.3000 0.5444
638.7000 0.5503
659.2000 0.5562
659.8000 0.5621
661.1000 0.5680
676.2000 0.5740
688.0000 0.5799
700.9000 0.5858
703.8000 0.5917
709.0000 0.5976
720.4000 0.6036
734.1000 0.6095
744.8000 0.6154
752.0000 0.6213
766.9000 0.6272
767.2000 0.6331
767.3000 0.6391
810.0000 0.6450
811.9000 0.6509
820.2000 0.6568
821.9000 0.6627
822.4000 0.6686
848.6000 0.6746
853.1000 0.6805
871.7000 0.6864
884.4000 0.6923
886.7000 0.6982
913.2000 0.7041
920.9000 0.7101
955.5000 0.7160
957.1000 0.7219
960.6000 0.7278
964.7000 0.7337
974.7000 0.7396
984.9000 0.7456
985.7000 0.7515
1000.5000 0.7574
1008.8000 0.7633
1011.8000 0.7692
1030.9000 0.7751
1037.7000 0.7811
1046.1000 0.7870
1054.4000 0.7929
1076.1000 0.7988
1146.3000 0.8047
1220.1000 0.8107
1241.6000 0.8166
1246.2000 0.8225
1551.0000 0.8284
1605.2000 0.8343
1626.9000 0.8402
1670.8000 0.8462
1753.5000 0.8521
1781.7000 0.8580
2107.7000 0.8639
2273.8000 0.8698
2706.0000 0.8757
2713.5000 0.8817
